actual_price,discount,name,price_without_discount,rating,specification,total_ratings
"₹1,540",18% off,Nokia 105DS PLUS,"₹,1,899",4,"32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) QVGA Display,0MP Front Camera,800 mAh Battery,SC6531E Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase",275 Ratings 
"₹3,849",27% off,Nokia 8210 4G DS,"₹,5,290",4.2,"0.046875 GB RAM | 0.125 GB ROM,7.11 cm (2.8 inch) QVGA Display,0.3MP Rear Camera,1450 mAh Battery,Single Core Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase",31 Ratings 
"₹4,549",22% off,Nokia 2660 TA-1480 DS,"₹,5,899",4.1,"0.046875 GB RAM | 0.125 GB ROM,7.11 cm (2.8 Inch) QVGA Display,0.3MP Rear Camera,1450 mAh Lithium Ion Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including battery from the date of purchase",16 Ratings 
"₹1,475",7% off,Nokia 105 SS 2021,"₹,1,599",4.2,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Quarter QVGA Display,800 mAh Lithium Ion Battery,Brand Warranty of 1 Year Available for Mobile","83,501 Ratings "
"₹1,720",18% off,Nokia 110 DS,"₹,2,099",4,"4 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,1MP Rear Camera,800 mAh Battery,1 YEAR",562 Ratings 
"₹1,890",9% off,Nokia 110 Dual Sim 2022,"₹,2,099",4.3,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Display,1MP Rear Camera,1000 mAh Battery,1 year",96 Ratings 
"₹3,799",13% off,Nokia 3310 DS 2020,"₹,4,399",3.9,"16 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,2MP Rear Camera,1200 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","35,485 Ratings "
"₹4,549",22% off,Nokia 2660 TA-1480 DS,"₹,5,899",4.1,"0.046875 GB RAM | 0.125 GB ROM,7.11 cm (2.8 Inch) QVGA Display,0.3MP Rear Camera,1450 mAh Lithium Ion Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including battery from the date of purchase",16 Ratings 
"₹3,349",25% off,Nokia 6310,"₹,4,499",3.9,"8 MB RAM | 16 MB ROM,7.11 cm (2.8 inch) QVGA Display,0.3MP Rear Camera,1150 mAh Lithium Ion Battery,Unisoc 6531F Processor,1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase","2,276 Ratings "
"₹3,349",25% off,Nokia 6310,"₹,4,499",3.9,"8 MB RAM | 16 MB ROM,7.11 cm (2.8 inch) QVGA Display,0.3MP Rear Camera,1150 mAh Lithium Ion Battery,Unisoc 6531F Processor,1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase","2,276 Ratings "
"₹3,349",25% off,Nokia 6310,"₹,4,499",3.9,"8 MB RAM | 16 MB ROM,7.11 cm (2.8 inch) QVGA Display,0.3MP Rear Camera,1150 mAh Lithium Ion Battery,Unisoc 6531F Processor,1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase","2,276 Ratings "
"₹4,549",22% off,Nokia 2660 TA-1480 DS,"₹,5,899",4.1,"0.046875 GB RAM | 0.125 GB ROM,7.11 cm (2.8 Inch) QVGA Display,0.3MP Rear Camera,1450 mAh Lithium Ion Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including battery from the date of purchase",16 Ratings 
"₹1,689",,Nokia 105 DS 2020,"₹,1,699",4.2,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 Inch) Quarter QVGA Display,800 mAh3 Li-ion Battery,Brand Warranty of 1 Year Available for Mobile from Date of Purchase","27,562 Ratings "
"₹4,849",25% off,Nokia 5710 XA DS,"₹,6,499",4.1,"0.046875 GB RAM | 0.125 GB ROM,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,1450 mAh Lithium Ion Battery,Unisoc UMS9117-N Processor,1 Year Manufacturer Warranty For Device and 6 Months Manufacturer Warranty For in-box Accessories Including Battery From The Date of Purchase",15 Ratings 
"₹1,428",,Nokia Ta -1010/105,,4.2,"4 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) Display,800 mAh Battery,12 Months","23,949 Ratings "
"₹1,599",,Nokia TA-1010/105,,4.2,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Quarter QVGA Display,800 mAh Lithium Ion Battery,Brand Warranty of 1 Year Available for Mobile","21,501 Ratings "
"₹10,949",15% off,"Nokia C31 (Charcoal, 64 GB)","₹,12,999",,"4 GB RAM | 64 GB ROM,17.12 cm (6.74 inch) Display,13MP Rear Camera,5050 mAh Battery,With a 1-year domestic replacement guarantee.",
"₹1,454",,Nokia 105 SS 2021,"₹,1,468",4.2,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Quarter QVGA Display,800 mAh Lithium Ion Battery,Brand Warranty of 1 Year Available for Mobile","83,501 Ratings "
"₹1,929",8% off,Nokia 110,"₹,2,099",4.3,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Quarter QVGA Display,0.08MP Rear Camera,800 mAh Lithium Ion Battery,Unisoc 6531E Processor,1 Year Manufacturer Warranty For Device and 6 Months Manufacturer Warranty For in-box Accessories Including Battery From The Date of Purchase",27 Ratings 
"₹12,999",10% off,"Nokia G21 (Dusk, 64 GB)","₹,14,499",4,"4 GB RAM | 64 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5050 mAh Lithium Polymer Battery,Unisoc T606 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase",238 Ratings 
"₹1,529",19% off,Nokia 105 PLUS,"₹,1,899",4.1,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,1000 mAh Lithium Ion Battery,MTK6261D Processor,1 Year Manufacturer Warranty For Device And 6 Months Manufacturer Warranty For In-Box Accessories Including Battery From The Date Of Purchase","7,464 Ratings "
