actual_price,discount,name,price_without_discount,rating,specification,total_ratings
"₹8,999",25% off,"POCO C55 (Cool Blue, 64 GB)","₹,11,999",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","1,356 Ratings "
"₹16,999",29% off,"POCO X4 Pro 5G (Laser Black, 128 GB)","₹,23,999",4.2,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor,One Year for Handset, 6 Months for Accessories","76,397 Ratings "
"₹15,999",30% off,"POCO X4 Pro 5G (Yellow, 64 GB)","₹,22,999",4.2,"6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor,One Year for Handset, 6 Months for Accessories","76,397 Ratings "
"₹9,099",24% off,"POCO C31 (Shadow Gray, 64 GB)","₹,11,999",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor,1 Year Warranty for Handset, 6 Months for Accessories","2,07,547 Ratings "
"₹8,999",25% off,"POCO C55 (Forest Green, 64 GB)","₹,11,999",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","1,356 Ratings "
"₹8,999",25% off,"POCO C55 (Power Black, 64 GB)","₹,11,999",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","1,356 Ratings "
"₹9,099",24% off,"POCO C31 (Royal Blue, 64 GB)","₹,11,999",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek G35 Processor,1 Year Warranty for Handset, 6 Months for Accessories","2,07,547 Ratings "
"₹10,999",21% off,"POCO C55 (Cool Blue, 128 GB)","₹,13,999",4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","1,070 Ratings "
"₹14,999",31% off,"POCO M4 Pro (Cool Blue, 128 GB)","₹,21,999",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor,One Year for Handset, 6 Months for Accessories","14,587 Ratings "
"₹18,499",28% off,"POCO X4 Pro 5G (Yellow, 128 GB)","₹,25,999",4.2,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor,One Year for Handset, 6 Months for Accessories","18,138 Ratings "
"₹13,999",26% off,"POCO M4 5G (Yellow, 128 GB)","₹,18,999",4.2,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor,1 Year Warranty for Handset and 6 Months for Accessories","28,572 Ratings "
"₹16,999",29% off,"POCO X4 Pro 5G (Laser Blue, 128 GB)","₹,23,999",4.2,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor,One Year for Handset, 6 Months for Accessories","76,397 Ratings "
"₹10,999",21% off,"POCO C55 (Power Black, 128 GB)","₹,13,999",4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","1,070 Ratings "
"₹10,999",21% off,"POCO C55 (Forest Green, 128 GB)","₹,13,999",4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories","1,070 Ratings "
"₹12,599",33% off,"POCO M5 (Power Black, 128 GB)","₹,18,999",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor,1 Year for Handset, 6 Months for Accessories","1,689 Ratings "
"₹14,999",31% off,"POCO M4 Pro (Yellow, 128 GB)","₹,21,999",4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor,One Year for Handset, 6 Months for Accessories","14,587 Ratings "
"₹12,599",33% off,"POCO M5 (Icy Blue, 128 GB)","₹,18,999",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor,1 Year for Handset, 6 Months for Accessories","1,689 Ratings "
"₹10,999",31% off,"POCO M5 (Icy Blue, 64 GB)","₹,15,999",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor,1 Year for Handset, 6 Months for Accessories","3,306 Ratings "
"₹22,999",11% off,"POCO X5 Pro 5G (Yellow, 128 GB)","₹,25,999",4.4,"6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 778G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories","1,985 Ratings "
"₹12,999",27% off,"POCO M4 Pro (Yellow, 64 GB)","₹,17,999",4.3,"6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor,One Year for Handset, 6 Months for Accessories","1,54,757 Ratings "
"₹7,999",27% off,"POCO C31 (Royal Blue, 32 GB)","₹,10,999",4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor,1 Year Warranty for Handset, 6 Months for Accessories","1,37,242 Ratings "
"₹12,599",33% off,"POCO M5 (Yellow, 128 GB)","₹,18,999",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor,1 Year for Handset, 6 Months for Accessories","1,689 Ratings "
"₹7,999",27% off,"POCO C31 (Shadow Gray, 32 GB)","₹,10,999",4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor,1 Year Warranty for Handset, 6 Months for Accessories","1,37,242 Ratings "
"₹24,999",13% off,"POCO X5 Pro 5G (Yellow, 256 GB)","₹,28,999",4.4,"8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 778G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories","2,120 Ratings "
"₹25,999",21% off,"POCO F4 5G (Night Black, 128 GB)","₹,32,999",4.3,"6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP | 20MP Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 870 Processor,2 Years Brand Warranty","12,168 Ratings "
"₹10,999",31% off,"POCO M5 (Power Black, 64 GB)","₹,15,999",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor,1 Year for Handset, 6 Months for Accessories","3,306 Ratings "
"₹14,999",11% off,"POCO M4 Pro 5G (Cool Blue, 64 GB)","₹,16,999",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor,One Year for Handset, 6 Months for Accessories","42,198 Ratings "
"₹10,999",31% off,"POCO M5 (Yellow, 64 GB)","₹,15,999",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor,1 Year for Handset, 6 Months for Accessories","3,306 Ratings "
"₹29,999",25% off,"POCO F4 5G (Night Black, 256 GB)","₹,39,999",4.3,"12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP | 20MP Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 870 Processor,2 Years Brand Warranty","2,873 Ratings "
"₹27,999",20% off,"POCO F4 5G (Night Black, 128 GB)","₹,34,999",4.3,"8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP | 20MP Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 870 Processor,2 Years Brand Warranty","4,939 Ratings "
"₹24,999",13% off,"POCO X5 Pro 5G (Astral Black, 256 GB)","₹,28,999",4.4,"8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 778G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories","2,120 Ratings "
"₹16,999",15% off,"POCO M4 Pro 5G (Power Black, 128 GB)","₹,19,999",4.3,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor,One Year for Handset, 6 Months for Accessories","49,704 Ratings "
"₹18,999",13% off,"POCO M4 Pro 5G (Power Black, 128 GB)","₹,21,999",4.2,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor,One Year for Handset, 6 Months for Accessories","13,708 Ratings "
"₹23,999",,"POCO X3 Pro (Graphite Black, 128 GB)",,4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 20MP Front Camera,5160 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 860 Processor,Multiple Hands-free Voice Assistants,One Year Warranty for Handset, 6 Months for Accessories","1,36,149 Ratings "
"₹25,999",,"POCO X3 Pro (Steel Blue, 128 GB)",,4.3,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 20MP Front Camera,5160 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 860 Processor,Multiple Hands-free Voice Assistants,One Year Warranty for Handset, 6 Months for Accessories","56,182 Ratings "
